Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.36,29.02,3.77,8.51,82.65
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.91,12.92,3.8,3.35,35.98
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.99,3.29,3.02,32.9
5,Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.19,6.5,2.89,29.85
8,Wii Play,Wii,2007,Misc,Nintendo,13.96,9.18,2.93,2.85,28.92
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.53,7.01,4.7,2.27,28.51
10,Duck Hunt,NES,1985,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.96,1.93,2.74,24.68
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.51,4.13,1.91,23.26
13,Pokémon Gold / Silver Version,GB,2000,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
14,Wii Fit,Wii,2008,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7
15,Kinect Adventures!,X360,2010,Party,Microsoft Game Studios,15.09,4.97,0.24,1.81,22.1
16,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.51,2.53,1.76,21.81
17,Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar Games,9.43,0.4,0.41,10.57,20.81
18,Super Mario World,SNES,1991,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
19,Grand Theft Auto V,PS3,2013,Action,Rockstar Games,6.37,9.85,0.99,3.12,20.32
20,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo,4.74,9.21,4.16,2.04,20.16
21,Grand Theft Auto V,PS4,2014,Action,Rockstar Games,6.06,9.71,0.6,3.02,19.39
22,Pokémon Diamond / Pearl Version,DS,2007,Role-Playing,Nintendo,6.38,4.47,6.04,1.36,18.25
23,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
24,Super Mario Bros. 3,NES,1990,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
25,Grand Theft Auto: Vice City,PS2,2002,Action,Rockstar Games,8.41,5.49,0.47,1.78,16.15
26,Pokémon X/Y,3DS,2013,Role-Playing,Nintendo,5.68,5.06,4.4,0.99,16.13
27,Grand Theft Auto V,X360,2013,Action,Rockstar Games,9.06,5.33,0.06,1.42,15.86
28,Pokémon Ruby / Sapphire Version,GBA,2003,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
29,Mario Kart 7,3DS,2011,Racing,Nintendo,6.03,5.35,3.0,1.11,15.49
30,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo,3.43,5.36,5.32,1.18,15.29
31,Pokémon Black / White Version,DS,2011,Role-Playing,Nintendo,5.51,3.2,5.66,0.8,15.18
32,Pokémon Sun/Moon,3DS,2016,Role-Playing,Nintendo,6.02,4.34,3.82,0.99,15.17
33,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.18,6.05,0.41,2.44,15.09
34,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
35,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.07,4.29,0.13,1.33,14.82
36,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.76,3.73,0.11,1.14,14.74
37,Pokémon Yellow: Special Pikachu Edition,GB,1999,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
38,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games,5.26,6.21,0.21,2.26,13.94
39,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.27,4.32,0.07,1.2,13.86
40,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.28,13.8
41,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.54,3.63,0.08,1.28,13.53
42,Call of Duty: WWII,PS4,2017,Shooter,Activision,4.67,6.21,0.4,2.12,13.4
43,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.78,0.49,1.54,13.35
44,Grand Theft Auto III,PS2,2001,Action,Rockstar Games,6.99,4.51,0.3,1.3,13.1
45,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo,5.05,4.98,2.11,0.91,13.05
46,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.64,2.57,2.67,1.03,12.91
47,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.78,3.98,3.15,0.82,12.73
48,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,6.01,4.4,0.48,1.78,12.67
49,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.46,5.33,0.86,12.14
50,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.13
51,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
52,FIFA 18,PS4,2017,Sports,EA Sports,1.27,8.64,0.15,1.73,11.8
53,Pokémon Heart Gold / Soul Silver Version,DS,2010,Role-Playing,Nintendo,4.34,2.72,3.96,0.76,11.78
54,Super Mario Odyssey,NS,2017,Platform,Nintendo,5.1,3.75,2.02,0.84,11.71
55,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
56,Super Mario 3D Land,3DS,2011,Platform,Nintendo,5.1,3.46,2.15,0.85,11.56
57,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.38,1.2,0.76,11.4
58,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.95,4.07,2.59,0.72,11.33
59,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo,6.16,2.04,2.69,0.29,11.18
60,Grand Theft Auto IV,X360,2008,Action,Rockstar Games,6.8,3.11,0.14,1.04,11.09
61,Gran Turismo,PS,1998,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
62,FIFA 17,PS4,2016,Sports,Electronic Arts,1.26,7.95,0.12,1.61,10.94
63,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo,2.46,3.06,4.9,0.48,10.9
64,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.87,0.81,2.1,10.75
65,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.66,0.38,1.59,10.61
66,Grand Theft Auto IV,PS3,2008,Action,Rockstar Games,4.79,3.73,0.44,1.62,10.57
67,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
68,Pokémon FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
69,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.76,2.64,0.04,0.98,10.41
70,Uncharted 4: A Thief's End,PS4,2016,Action,Sony Interactive Entertainment,4.49,3.93,0.21,1.7,10.33
71,Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.13,0.0,1.06,10.14
72,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.11,4.01,0.39,1.62,10.13
73,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.08,2.01,0.08,0.8,9.97
74,Halo 4,X360,2012,Shooter,Microsoft Studios,6.72,2.36,0.04,0.83,9.96
75,Mario Kart 64,N64,1997,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
76,Minecraft,X360,2013,Misc,Microsoft Studios,5.96,2.94,0.02,0.9,9.82
77,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
78,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
79,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo,4.54,2.94,1.26,0.73,9.46
80,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.86,0.01,0.77,9.45
81,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.98,2.39,0.13,0.91,9.41
82,Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision,4.05,3.28,0.5,1.49,9.32
83,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3
84,FIFA 19,PS4,2018,Sports,Electronic Arts,0.84,6.87,0.1,1.34,9.15
85,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo,4.22,1.72,2.41,0.61,8.95
86,Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.86,1.98,0.69,8.93
87,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.1,2.83,0.1,0.85,8.88
88,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
89,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment,3.64,3.39,0.32,1.41,8.76
90,Grand Theft Auto V,XOne,2014,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72
91,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
92,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,3.11,3.83,0.19,1.36,8.48
93,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.91,3.97,0.27,1.34,8.48
94,Wii Party,Wii,2010,Misc,Nintendo,1.75,3.51,2.49,0.66,8.41
95,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo,3.73,1.5,2.55,0.54,8.32
96,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.27,1.58,0.7,8.3
97,FIFA 16,PS4,2015,Sports,EA Sports,1.15,5.77,0.07,1.23,8.22
98,Pokémon Black 2 and White 2,DS,2012,Role-Playing,Nintendo,2.79,1.79,3.16,0.43,8.16
99,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
100,Final Fantasy X,PS2,2001,Role-Playing,Square,2.91,2.07,2.73,0.33,8.05
101,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,3.31,3.19,0.23,1.3,8.03
102,FIFA 13,PS3,2012,Sports,EA Sports,1.07,5.13,0.13,1.68,8.01
103,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.87,0.66,0.9,8.0
104,The Sims 3,PC,2009,Simulation,Electronic Arts,1.01,6.46,0.0,0.5,7.96
105,Final Fantasy VIII,PS,1999,Role-Playing,Square EA,2.28,1.72,3.63,0.23,7.86
106,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
107,Pokémon Platinum Version,DS,2009,Role-Playing,Nintendo,2.76,1.73,2.69,0.54,7.72
108,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Rockstar Games,2.9,2.83,0.24,1.74,7.72
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.22,2.55,1.39,0.54,7.69
110,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo,4.1,1.89,1.45,0.16,7.6
111,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
112,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.59,2.37,0.98,0.62,7.57
113,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.84,3.34,0.14,1.22,7.53
114,Call of Duty: World at War,X360,2008,Shooter,Activision,4.88,1.91,0.0,0.71,7.5
115,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
116,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
117,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.47,2.12,0.06,0.69,7.35
118,Battlefield 1,PS4,2016,Shooter,Electronic Arts,2.2,3.65,0.29,1.12,7.26
119,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.86,2.94,0.35,1.07,7.21
120,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.21
121,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
122,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo,3.74,2.16,0.6,0.69,7.18
123,Tekken 3,PS,1998,Fighting,Namco,3.27,2.22,1.4,0.29,7.16
124,Pokémon: Ultra Sun and Ultra Moon,3DS,2017,Role-Playing,Nintendo,2.46,1.74,2.55,0.4,7.15
125,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
126,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
127,Splatoon 2,NS,2017,Shooter,Nintendo,1.9,1.8,3.01,0.34,7.04
128,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
129,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
130,Just Dance 4,Wii,2012,Music,Ubisoft,4.05,2.21,0.0,0.62,6.89
131,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.81,0.19,1.06,6.84
132,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
133,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
134,The Last of Us Remastered,PS4,2014,Action-Adventure,Sony Computer Entertainment,2.7,2.86,0.11,1.1,6.77
135,Zumba Fitness,Wii,2010,Sports,Majesco,3.47,2.62,0.0,0.67,6.76
136,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.91,0.06,0.64,6.75
137,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.28,2.22,0.21,1.02,6.74
138,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.13,2.27,0.28,1.04,6.72
139,FIFA Soccer 12,PS3,2011,Sports,EA Sports,0.84,4.33,0.11,1.37,6.65
140,Big Brain Academy,DS,2006,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63
141,FIFA 14,PS3,2013,Sports,EA Sports,0.79,4.77,0.07,0.98,6.61
142,Red Dead Redemption,PS3,2011,Action,Rockstar Games,2.82,2.58,0.17,1.0,6.57
143,The Legend of Zelda,NES,1987,Adventure,Nintendo,3.74,0.93,1.69,0.14,6.51
144,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.19,1.81,1.03,0.47,6.5
145,Assassin's Creed III,PS3,2012,Action-Adventure,Ubisoft,2.65,2.61,0.16,1.08,6.5
146,Red Dead Redemption,X360,2010,Action,Rockstar Games,3.77,2.03,0.09,0.6,6.5
147,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.57,2.68,0.25,0.99,6.49
148,Halo: Combat Evolved,XB,2001,Shooter,Microsoft,4.98,1.3,0.08,0.07,6.43
149,Pokémon Emerald Version,GBA,2005,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
150,Kingdom Hearts,PS2,2002,Role-Playing,Square EA,3.64,1.2,1.49,0.07,6.4
151,Pokémon Crystal Version,GBC,2001,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
152,World of Warcraft,PC,2004,MMO,Blizzard Entertainment,0.12,6.24,0.0,0.0,6.35
153,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.35
154,Minecraft,PS4,2014,Misc,Sony Computer Entertainment,1.89,3.13,0.35,0.96,6.33
155,FIFA 15,PS4,2014,Sports,EA Sports,0.83,4.49,0.05,0.94,6.32
156,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
157,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
158,The Last of Us,PS3,2013,Action-Adventure,Sony Computer Entertainment America,2.41,2.57,0.29,0.99,6.27
159,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
160,Call of Duty: WWII,XOne,2017,Shooter,Activision,3.75,1.91,0.0,0.57,6.23
161,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.55,6.23
162,Gears of War 3,X360,2011,Shooter,Microsoft Studios,4.05,1.59,0.07,0.5,6.22
163,God of War (2018),PS4,2018,Action,Sony Interactive Entertainment,2.83,2.17,0.13,1.02,6.15
164,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09
165,Minecraft,PS3,2014,Misc,Sony Computer Entertainment America,2.21,2.86,0.0,0.99,6.05
166,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action-Adventure,Konami,2.45,2.01,0.87,0.72,6.05
167,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
168,Metal Gear Solid,PS,1998,Action-Adventure,Konami,3.18,1.83,0.78,0.24,6.03
169,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action-Adventure,Konami,2.63,1.72,0.83,0.81,6.0
170,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
171,Tomodachi Life,3DS,2014,Simulation,Nintendo,0.97,2.64,1.98,0.28,5.88
172,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.01,0.17,0.87,5.85
173,Horizon: Zero Dawn,PS4,2017,Action-Adventure,Sony Interactive Entertainment,2.2,2.43,0.28,0.92,5.82
174,Resident Evil 2,PS,1998,Action,Capcom,1.88,1.47,2.02,0.45,5.82
175,Dragon Quest IX: Sentinels of the Starry Skies,DS,2010,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.79
176,Red Dead Redemption 2,XOne,2018,Action-Adventure,Rockstar Games,3.76,1.47,0.0,0.54,5.77
177,Destiny,PS4,2014,Shooter,Activision,2.53,2.13,0.16,0.94,5.76
178,Tekken 2,PS,1996,Fighting,Namco,2.26,1.89,1.36,0.23,5.74
179,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.55,2.11,0.1,0.94,5.7
180,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.57,0.0,0.52,5.66
181,Cooking Mama,DS,2006,Simulation,Majesco,3.09,1.92,0.07,0.58,5.66
182,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.63,1.32,0.38,5.62
183,Tetris,NES,1989,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
184,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.86,5.57
185,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
186,Assassin's Creed,X360,2007,Action,Ubisoft,3.28,1.64,0.07,0.56,5.55
187,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive,2.72,1.89,0.11,0.82,5.54
188,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.51,5.5
189,Monster Hunter Freedom Unite,PSP,2009,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
190,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
191,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
192,Super Mario World: Super Mario Advance 2,GBA,2002,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
193,Pokémon Stadium,N64,2000,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
194,Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo,2.03,1.88,1.17,0.36,5.44
195,Minecraft,XOne,2014,Misc,Microsoft Studios,3.23,1.71,0.0,0.49,5.43
196,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.75,1.84,0.0,0.84,5.43
197,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
198,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Warner Bros. Interactive Entertainment,1.48,2.82,0.28,0.81,5.39
199,Final Fantasy XIII,PS3,2010,Role-Playing,Square Enix,1.75,1.23,1.87,0.51,5.35
200,Dr. Mario,GB,1990,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34
201,Assassin's Creed III,X360,2012,Action-Adventure,Ubisoft,3.13,1.71,0.03,0.45,5.31
202,Pokémon Pinball,GBC,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
203,Assassin's Creed II,X360,2009,Action,Ubisoft,3.14,1.55,0.08,0.52,5.3
204,Final Fantasy IX,PS,2000,Role-Playing,Square,1.62,0.77,2.78,0.14,5.3
205,Final Fantasy X-2,PS2,2003,Role-Playing,Square Enix,1.92,1.08,2.11,0.17,5.29
206,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
207,Diablo III,PC,2012,Role-Playing,Blizzard Entertainment,2.5,2.23,0.0,0.53,5.26
208,Tomb Raider II,PS,1997,Adventure,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
209,Madden NFL 2004,PS2,2003,Sports,EA Sports,4.26,0.26,0.01,0.71,5.23
210,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.25,1.49,0.01,0.48,5.22
211,Dragon Quest VIII: Journey of the Cursed King,PS2,2005,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
212,Super Mario Advance 4: Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
213,Professor Layton and the Curious Village,DS,2008,Adventure,Nintendo,1.21,2.44,1.03,0.51,5.2
214,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
215,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
216,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
217,Battlefield 1,XOne,2016,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13
218,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
219,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft,3.22,1.69,0.0,0.2,5.12
220,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12
221,FIFA 13,X360,2012,Sports,EA Sports,1.1,3.49,0.03,0.5,5.11
222,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.42,1.08,0.64,5.1
223,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.09,0.05,0.37,5.1
224,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.46,0.44,0.57,5.1
225,The Legend of Zelda: Phantom Hourglass,DS,2007,Adventure,Nintendo,1.85,1.8,0.95,0.48,5.09
226,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Rockstar Games,1.7,2.03,0.16,1.19,5.08
227,FIFA Soccer 11,PS3,2010,Sports,EA Sports,0.61,3.28,0.06,1.12,5.08
228,Super Mario Bros. Deluxe,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
229,Super Smash Bros. for Wii U,WiiU,2014,Fighting,Nintendo,2.68,1.15,0.85,0.39,5.07
230,Final Fantasy XV,PS4,2016,Role-Playing,Square Enix,1.81,1.53,1.05,0.68,5.07
231,Resident Evil,PS,1996,Action,Capcom,2.05,1.16,1.11,0.73,5.05
232,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
233,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
234,Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.31,1.54,0.79,0.37,5.01
235,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01
236,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0
237,Guitar Hero III: Legends of Rock,PS2,2007,Misc,RedOctane,3.49,0.01,0.01,1.48,4.98
238,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98
239,Super Mario Party,NS,2018,Party,Nintendo,2.12,1.64,0.85,0.36,4.97
240,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.32,1.73,0.12,0.8,4.97
241,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.41,0.99,0.09,0.46,4.96
242,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,2008,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.94
243,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Studios,2.94,1.49,0.03,0.45,4.92
244,Madden NFL 06,PS2,2005,Sports,EA Sports,3.98,0.26,0.01,0.66,4.91
245,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
246,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87
247,StarCraft II: Wings of Liberty,PC,2010,Strategy,Blizzard Entertainment,2.6,1.7,0.0,0.56,4.86
248,Call of Duty: Black Ops IIII,XOne,2018,Shooter,Activision,3.27,1.12,0.0,0.46,4.85
249,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
250,Crash Bandicoot N. Sane Trilogy,PS4,2017,Platform,Activision,1.09,2.92,0.07,0.74,4.83
251,Assassin's Creed,PS3,2007,Action,Ubisoft,1.91,2.01,0.09,0.82,4.83
252,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.6,4.81
253,Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,2.91,1.44,0.0,0.44,4.79
254,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
255,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.49,0.0,0.45,4.77
256,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive,2.99,1.28,0.04,0.44,4.75
257,Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
258,Splatoon,WiiU,2015,Shooter,Nintendo,1.58,1.3,1.56,0.27,4.71
259,The Simpsons: Hit & Run,PS2,2003,Racing,VU Games,1.73,2.19,0.0,0.79,4.7
260,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
261,Monster Hunter: World,PS4,2018,Action,Capcom,1.03,1.06,2.17,0.42,4.67
262,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
263,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.84,1.13,1.32,0.36,4.65
264,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
265,Nintendo Land,WiiU,2012,Party,Nintendo,2.52,1.23,0.51,0.38,4.63
266,The Legend of Zelda: A Link to the Past,SNES,1992,Adventure,Nintendo,2.42,0.91,1.15,0.13,4.61
