Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
5726,MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment,0.07,0.03,0.0,0.25,0.34
5727,The Fairly Odd Parents: Shadow Showdown,GBA,2004,Platform,THQ,0.25,0.09,0.0,0.01,0.34
5728,Trauma Center: Second Opinion,Wii,2006,Simulation,Atlus,0.28,0.01,0.03,0.03,0.34
5729,Marvel Super Heroes,PS,1997,Fighting,Capcom,0.19,0.13,0.0,0.02,0.34
5730,Super Bust-A-Move,PS2,2000,Puzzle,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.34
5731,Hitman: Contracts,XB,2004,Shooter,Eidos Interactive,0.26,0.07,0.0,0.01,0.34
5732,Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011,Strategy,Ubisoft,0.22,0.1,0.0,0.03,0.34
5733,Thunderstrike: Operation Phoenix,PS2,2001,Simulation,Eidos Interactive,0.17,0.13,0.0,0.04,0.34
5734,Alien's Return,2600,1983,Action,ITT Family Games,0.32,0.02,0.0,0.0,0.34
5735,Frostbite,2600,1983,Action,Activision,0.32,0.02,0.0,0.0,0.34
5736,Company of Heroes 2,PC,2013,Misc,Sega,0.06,0.26,0.0,0.02,0.34
5737,Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ,0.31,0.0,0.0,0.03,0.34
5738,SimCity Creator,DS,2008,Simulation,Electronic Arts,0.29,0.02,0.0,0.03,0.34
5739,Monopoly,PS3,2008,Misc,Electronic Arts,0.25,0.06,0.0,0.03,0.34
5740,Twisted Metal,PS3,2012,Racing,Sony Computer Entertainment,0.32,0.0,0.0,0.03,0.34
5741,Speed Racer: The Videogame,DS,2008,Racing,Warner Bros. Interactive,0.28,0.04,0.0,0.03,0.34
5742,WWE Day of Reckoning 2,GC,2005,Fighting,THQ,0.26,0.07,0.0,0.01,0.34
5743,The Urbz: Sims in the City,XB,2004,Simulation,Electronic Arts,0.22,0.11,0.0,0.01,0.34
5744,SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,THQ,0.31,0.0,0.0,0.02,0.34
5745,Conan,PS3,2007,Action,THQ,0.13,0.15,0.0,0.05,0.34
5746,Fantastic Voyage,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
5747,The Sims 3: Town Life Stuff,PC,2011,Simulation,Electronic Arts,0.11,0.18,0.0,0.05,0.34
5748,Star Ocean: Second Evolution,PSP,2009,Role-Playing,Square Enix,0.14,0.02,0.16,0.02,0.34
5749,Night Warriors: Darkstalkers' Revenge,SAT,1996,Fighting,Capcom,0.0,0.0,0.34,0.0,0.34
5750,Tomb Raider (2013),PC,2013,Action,Square Enix,0.06,0.26,0.0,0.02,0.34
5751,Tenchu Z,X360,2007,Action,Microsoft,0.27,0.02,0.02,0.03,0.34
5752,Off Road Challenge,N64,1998,Racing,Midway Games,0.27,0.06,0.0,0.0,0.34
5753,Bank Heist,2600,1983,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
5754,Backstreet Billiards,PS,1998,Misc,ASCII Entertainment,0.19,0.13,0.0,0.02,0.34
5755,Carnival,2600,1982,Shooter,Coleco,0.32,0.02,0.0,0.0,0.34
5756,Leisure Suit Larry: Magna Cum Laude,PS2,2004,Adventure,VU Games,0.17,0.13,0.0,0.04,0.34
5757,MVP 06 NCAA Baseball,XB,2006,Sports,EA Sports,0.25,0.07,0.0,0.01,0.34
5758,Momotarou Dentetsu DS: Tokyo & Japan,DS,2007,Misc,Hudson Soft,0.0,0.0,0.34,0.0,0.34
5759,Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.13,0.13,0.04,0.05,0.34
5760,Point Blank,PS,1998,Shooter,Namco,0.05,0.03,0.23,0.02,0.34
5761,Skylanders: Trap Team,3DS,2014,Misc,Activision,0.21,0.1,0.0,0.03,0.34
5762,F.E.A.R.,X360,2006,Shooter,Vivendi Games,0.28,0.03,0.0,0.03,0.34
5763,Disgaea 5 Complete,NS,2017,Role-Playing,NIS America,0.15,0.11,0.05,0.02,0.34
5764,The Shoot,PS3,2010,Shooter,Sony Computer Entertainment,0.13,0.15,0.01,0.05,0.34
5765,Tiny Tank,PS,1999,Action,Sony Computer Entertainment,0.19,0.13,0.0,0.02,0.34
5766,Smart Girl's Party Game,DS,2008,Misc,UFO Interactive,0.31,0.0,0.0,0.02,0.34
5767,Lord of Arcana,PSP,2011,Role-Playing,Square Enix,0.08,0.05,0.17,0.04,0.34
5768,Spy Hunter,XB,2002,Racing,Midway Games,0.25,0.07,0.0,0.01,0.34
5769,NBA 2K17,PS3,2016,Sports,2K Sports,0.16,0.11,0.02,0.05,0.34
5770,Dynasty Warriors 6 Empires,PS3,2009,Action,KOEI,0.14,0.03,0.15,0.02,0.34
5771,The King of Fighters XIV,PS4,2016,Fighting,Atlus,0.21,0.02,0.06,0.05,0.34
5772,Herbie: Fully Loaded,GBA,2005,Racing,Buena Vista,0.24,0.09,0.0,0.01,0.34
5773,Kameo: Elements of Power,X360,2005,Adventure,Microsoft Game Studios,0.28,0.03,0.0,0.03,0.34
5774,Teenage Mutant Ninja Turtles,GC,2003,Action,Konami,0.26,0.07,0.0,0.01,0.34
5775,My Baby Boy,DS,2008,Simulation,SouthPeak Interactive,0.3,0.02,0.0,0.03,0.34
5776,Remember Me,PS3,2013,Action,Capcom,0.1,0.18,0.0,0.05,0.34
5777,Project Versus J,PS3,2015,Misc,Namco Bandai Games,0.07,0.05,0.2,0.02,0.34
5778,Guitar Hero Live,X360,2015,Music,Activision,0.2,0.11,0.0,0.03,0.34
5779,Football Manager Handheld 2008,PSP,2007,Sports,Sega,0.0,0.33,0.0,0.0,0.34
5780,Dragon Ball Heroes: Ultimate Mission 2,3DS,2014,Fighting,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34
5781,Iron Man 2,DS,2010,Action,Sega,0.14,0.16,0.0,0.03,0.34
5782,Imagine: Movie Star,DS,2008,Simulation,Ubisoft,0.31,0.0,0.0,0.03,0.34
5783,Disney Sing It: Pop Hits,PS2,2009,Misc,Disney Interactive Studios,0.1,0.02,0.0,0.22,0.34
5784,Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3 Publisher,0.28,0.01,0.03,0.02,0.34
5785,Bejeweled 3,DS,2011,Puzzle,PopCap Games,0.29,0.02,0.0,0.03,0.34
5786,The Eye of Judgment,PS3,2007,Strategy,Sony Computer Entertainment,0.28,0.0,0.02,0.03,0.34
5787,007 Legends,PS3,2012,Shooter,Activision,0.11,0.17,0.0,0.06,0.34
5788,Dynasty Warriors: Gundam 2,PS2,2009,Action,Namco Bandai,0.04,0.03,0.25,0.01,0.34
5789,Fade to Black,PS,1996,Action,Electronic Arts,0.19,0.13,0.0,0.02,0.34
5790,MXRider,PS2,2001,Racing,Infogrames,0.16,0.13,0.0,0.04,0.34
5791,Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive,0.05,0.2,0.03,0.05,0.34
5792,Pirates of the Caribbean: At World's End,X360,2007,Action,Disney Interactive Studios,0.29,0.02,0.0,0.03,0.34
5793,Delta Force: Black Hawk Down,XB,2005,Shooter,NovaLogic,0.25,0.07,0.0,0.01,0.34
5794,NHL 09,PS3,2008,Sports,Electronic Arts,0.29,0.02,0.0,0.03,0.34
5795,Shaun White Snowboarding,PSP,2008,Sports,Ubisoft,0.26,0.04,0.0,0.03,0.34
5796,World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Crave Entertainment,0.16,0.13,0.0,0.04,0.34
5797,Harry Potter and the Deathly Hallows - Part 2,X360,2011,Action,Electronic Arts,0.19,0.11,0.0,0.03,0.33
5798,Samurai Warriors 3Z,PS3,2011,Action,Tecmo Koei,0.0,0.0,0.33,0.0,0.33
5799,Sengoku Musou 3 Z,PS3,2011,Action,Tecmo Koei,0.0,0.0,0.33,0.0,0.33
5800,Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,Ubisoft,0.21,0.11,0.0,0.01,0.33
5801,Dead or Alive 5,X360,2012,Fighting,Tecmo Koei,0.2,0.08,0.03,0.03,0.33
5802,NCAA Basketball 10,PS3,2009,Sports,Electronic Arts,0.31,0.0,0.0,0.03,0.33
5803,Tokyo Highway Battle,PS,1996,Racing,Crave Entertainment,0.06,0.04,0.21,0.02,0.33
5804,Dishonored: Death of the Outsider,PS4,2017,Action,Bethesda Softworks,0.1,0.18,0.0,0.05,0.33
5805,Untold Legends: The Warriors Code,PSP,2006,Role-Playing,Sony Online Entertainment,0.14,0.12,0.0,0.08,0.33
5806,Beyond Good & Evil,PS2,2003,Adventure,Ubisoft,0.16,0.13,0.0,0.04,0.33
5807,Valkyria Chronicles Remastered,PS4,2016,Role-Playing,Sega,0.14,0.08,0.08,0.04,0.33
5808,Banjo-Kazooie: Grunty's Revenge,GBA,2003,Platform,THQ,0.24,0.09,0.0,0.01,0.33
5809,Bomberman World,PS,1998,Puzzle,Atlus,0.06,0.04,0.22,0.02,0.33
5810,Night at the Museum: Battle of the Smithsonian,DS,2009,Action,Majesco,0.12,0.18,0.0,0.04,0.33
5811,Transformers: Revenge of the Fallen -- Decepticons,DS,2009,Action,Activision,0.17,0.13,0.0,0.03,0.33
5812,Mega Man ZX Advent,DS,2007,Platform,Capcom,0.22,0.0,0.09,0.02,0.33
5813,Jeanne d'Arc,PSP,2007,Role-Playing,Sony Computer Entertainment,0.21,0.0,0.1,0.02,0.33
5814,Street Fighter Alpha 3 MAX,PSP,2006,Fighting,Capcom,0.27,0.01,0.02,0.03,0.33
5815,Call of Duty: Infinite Warfare,PC,2016,Shooter,Activision,0.12,0.19,0.0,0.03,0.33
